Date time,Precipitable Water Vapor [mm],Telescope Azimuth [deg],Telescope Elevation [deg]
2024-09-05T00:00:00,0.68,16.039643,64.848096
2024-09-05T00:01:00,0.68,15.479785,64.910033
2024-09-05T00:02:00,0.66,14.896385,64.969418
2024-09-05T00:03:00,0.66,14.346475,65.017399
2024-09-05T00:04:00,0.65,13.736859,65.082120
2024-09-05T00:05:00,0.66,13.152866,65.132270
2024-09-05T00:06:00,0.66,12.591526,65.189132
2024-09-05T00:07:00,0.66,12.005538,65.238166
2024-09-05T00:08:00,0.65,11.417616,65.284957
2024-09-05T00:09:00,0.65,10.827565,65.329503
2024-09-05T00:10:00,0.64,10.241135,65.363850
2024-09-05T00:11:00,0.62,9.640802,65.411470
2024-09-05T00:12:00,0.62,9.044953,65.448952
2024-09-05T00:13:00,0.61,8.446819,65.484084
2024-09-05T00:14:00,0.60,7.858584,65.505310
2024-09-05T00:15:00,0.60,7.247367,65.547023
2024-09-05T00:16:00,0.61,7.418525,65.513835
2024-09-05T00:17:00,0.60,6.815580,65.535599
2024-09-05T00:18:00,0.59,5.437491,65.619362
2024-09-05T00:19:00,0.58,4.817609,65.633142
2024-09-05T00:20:00,0.58,4.224941,65.658176
2024-09-05T00:21:00,0.57,3.619516,65.674101
2024-09-05T00:22:00,0.57,3.011453,65.687337
2024-09-05T00:23:00,0.58,2.403460,65.698268
2024-09-05T00:24:00,0.57,1.793543,65.706668
2024-09-05T00:25:00,0.56,1.185292,65.712695
2024-09-05T00:26:00,0.56,0.576914,65.716256
2024-09-05T00:27:00,0.56,-0.032803,65.717355
2024-09-05T00:28:00,0.55,-0.641554,65.715986
2024-09-05T00:29:00,0.54,0.000006,89.750034
2024-09-05T00:30:00,0.54,-0.000005,89.750042
2024-09-05T00:31:00,0.53,-0.000005,89.750055
2024-09-05T00:32:00,0.52,-0.000013,89.750055
2024-09-05T00:33:00,0.51,35.906706,72.063500
2024-09-05T00:34:00,0.51,36.105867,71.994285
2024-09-05T00:35:00,0.50,35.430305,72.129035
2024-09-05T00:36:00,0.50,34.745002,72.261650
2024-09-05T00:37:00,0.49,34.049052,72.392192
2024-09-05T00:38:00,0.48,33.342860,72.520121
2024-09-05T00:39:00,0.48,32.629358,72.645650
2024-09-05T00:40:00,0.48,31.904511,72.768920
2024-09-05T00:41:00,0.46,53.435603,61.736698
2024-09-05T00:42:00,0.46,85.436921,29.737455
2024-09-05T00:43:00,0.44,85.296184,29.954541
2024-09-05T00:44:00,0.44,85.161603,30.197125
2024-09-05T00:45:00,0.44,85.050612,30.425747
2024-09-05T00:46:00,0.43,84.955316,30.656572
2024-09-05T00:47:00,0.43,84.832261,30.886603
2024-09-05T00:48:00,0.43,84.734526,31.116211
2024-09-05T00:49:00,0.42,84.636816,31.345891
2024-09-05T00:50:00,0.42,84.499282,31.575185
2024-09-05T00:51:00,0.41,84.400529,31.805087
2024-09-05T00:52:00,0.41,84.334231,32.034729
2024-09-05T00:53:00,0.40,84.180226,32.263795
2024-09-05T00:54:00,0.40,84.049821,32.493408
2024-09-05T00:55:00,0.41,-14.241269,48.151909
2024-09-05T00:56:00,0.41,-14.588250,48.094476
2024-09-05T00:57:00,0.40,-14.909351,48.035560
2024-09-05T00:58:00,0.40,-15.245209,47.975456
2024-09-05T00:59:00,0.40,-15.599166,47.917423
2024-09-05T01:00:00,0.40,-15.968215,47.851349
2024-09-05T01:01:00,0.40,-16.285877,47.787165
2024-09-05T01:02:00,0.40,-16.616933,47.721738
2024-09-05T01:03:00,0.39,-16.968215,47.658326
2024-09-05T01:04:00,0.39,-17.332372,47.586909
2024-09-05T01:05:00,0.39,-1.339488,45.439889
2024-09-05T01:06:00,0.39,-1.460050,45.430529
2024-09-05T01:07:00,0.39,-1.460066,45.430545
2024-09-05T01:08:00,0.38,-1.460060,45.430522
2024-09-05T01:09:00,0.38,-1.460065,45.452329
2024-09-05T01:10:00,0.38,-2.998489,45.397025
2024-09-05T01:11:00,0.39,-3.269617,45.384494
2024-09-05T01:12:00,0.39,-3.601201,45.370473
2024-09-05T01:13:00,0.38,-3.972053,45.355317
2024-09-05T01:14:00,0.37,-4.302768,45.338795
2024-09-05T01:15:00,0.38,-4.634553,45.320879
2024-09-05T01:16:00,0.38,-4.924118,45.301712
2024-09-05T01:17:00,0.38,-5.253872,45.281166
2024-09-05T01:18:00,0.38,-5.584311,45.259235
2024-09-05T01:19:00,0.38,-5.933968,45.236101
2024-09-05T01:20:00,0.38,-6.263459,45.211533
2024-09-05T01:21:00,0.38,-6.612883,45.185841
2024-09-05T01:22:00,0.38,-6.939370,45.158647
2024-09-05T01:23:00,0.38,-7.267555,45.130083
2024-09-05T01:24:00,0.39,-7.553538,45.100429
2024-09-05T01:25:00,0.39,-7.882589,45.069331
2024-09-05T01:26:00,0.39,-8.210505,45.036946
2024-09-05T01:27:00,0.39,-8.576058,45.003310
2024-09-05T01:28:00,0.39,-8.901759,44.968227
2024-09-05T01:29:00,0.40,-22.387750,56.492620
2024-09-05T01:30:00,0.40,-22.876938,56.403727
2024-09-05T01:31:00,0.40,-23.263964,56.306391
2024-09-05T01:32:00,0.39,-23.708651,56.221178
2024-09-05T01:33:00,0.39,-15.676750,55.940858
2024-09-05T01:34:00,0.39,-16.028141,55.877968
2024-09-05T01:35:00,0.39,-16.453265,55.813343
2024-09-05T01:36:00,0.39,-16.925702,55.747091
2024-09-05T01:37:00,0.40,-17.347218,55.679126
2024-09-05T01:38:00,0.40,-17.766176,55.609618
2024-09-05T01:39:00,0.39,-18.135070,55.538552
2024-09-05T01:40:00,0.39,-18.552384,55.465884
2024-09-05T01:41:00,0.39,-19.020990,55.391636
2024-09-05T01:42:00,0.39,-19.456042,55.315800
2024-09-05T01:43:00,0.39,-19.817003,55.238280
2024-09-05T01:44:00,0.39,-20.251348,55.159365
2024-09-05T01:45:00,0.38,-20.659009,55.078866
2024-09-05T01:46:00,0.38,-21.065163,54.996550
2024-09-05T01:47:00,0.38,-21.420222,54.913268
2024-09-05T01:48:00,0.38,-21.824463,54.828020
2024-09-05T01:49:00,0.38,-22.225587,54.741378
2024-09-05T01:50:00,0.38,-22.671531,54.653353
2024-09-05T01:51:00,0.37,-23.069191,54.563926
2024-09-05T01:52:00,0.37,-118.811752,49.706702
2024-09-05T01:53:00,0.37,-118.792199,49.504412
2024-09-05T01:54:00,0.37,-118.730007,49.302401
2024-09-05T01:55:00,0.37,-118.704624,49.103201
2024-09-05T01:56:00,0.37,-118.685339,48.897611
2024-09-05T01:57:00,0.37,-118.636762,48.695372
2024-09-05T01:58:00,0.37,-118.619426,48.499580
2024-09-05T01:59:00,0.37,-118.618059,48.290309
2024-09-05T02:00:00,0.37,-118.467853,48.087667
2024-09-05T02:01:00,0.36,-118.568596,47.882697
2024-09-05T02:02:00,0.36,-118.544488,47.682626
2024-09-05T02:03:00,0.36,-118.521853,47.480108
2024-09-05T02:04:00,0.36,-118.500178,47.277061
2024-09-05T02:05:00,0.35,74.412038,48.583132
2024-09-05T02:06:00,0.35,74.319707,48.805262
2024-09-05T02:07:00,0.35,74.110400,49.027427
2024-09-05T02:08:00,0.35,73.901576,49.249068
2024-09-05T02:09:00,0.35,73.745991,49.470710
2024-09-05T02:10:00,0.35,73.572044,49.692030
2024-09-05T02:11:00,0.34,73.379211,49.913385
2024-09-05T02:12:00,0.34,73.219194,50.134318
2024-09-05T02:13:00,0.34,73.023217,50.355179
2024-09-05T02:14:00,0.34,72.860878,50.576002
2024-09-05T02:15:00,0.34,72.661385,50.795959
2024-09-05T02:16:00,0.35,72.558313,51.016083
2024-09-05T02:17:00,0.34,72.300973,51.236188
2024-09-05T02:18:00,0.34,72.103631,51.458180
2024-09-05T02:19:00,0.34,-96.553980,53.790689
2024-09-05T02:20:00,0.34,-96.680604,53.561791
2024-09-05T02:21:00,0.33,-96.733783,53.332697
2024-09-05T02:22:00,0.33,-96.795363,53.098713
2024-09-05T02:23:00,0.33,-96.857120,52.876765
2024-09-05T02:24:00,0.33,-96.926803,52.645430
2024-09-05T02:25:00,0.33,-96.980205,52.416581
2024-09-05T02:26:00,0.33,-97.033570,52.187531
2024-09-05T02:27:00,0.32,-97.103247,51.961026
2024-09-05T02:28:00,0.33,-97.191546,51.729686
2024-09-05T02:29:00,0.33,-113.569651,49.555796
2024-09-05T02:30:00,0.32,-113.646172,49.059868
2024-09-05T02:31:00,0.32,-113.637906,48.848449
2024-09-05T02:32:00,0.32,-113.618536,48.904356
2024-09-05T02:33:00,0.32,-113.610594,48.694065
2024-09-05T02:34:00,0.32,-113.617952,48.214527
2024-09-05T02:35:00,0.32,-113.613028,48.287208
2024-09-05T02:36:00,0.33,-113.608663,47.791602
2024-09-05T02:37:00,0.32,-113.579189,47.850392
2024-09-05T02:38:00,0.32,-113.575224,47.640197
2024-09-05T02:39:00,0.32,-113.600501,47.157701
2024-09-05T02:40:00,0.32,-113.583795,47.231961
2024-09-05T02:41:00,0.32,-113.598678,46.734616
2024-09-05T02:42:00,0.32,-113.598867,46.523339
