Date time,Precipitable Water Vapor [mm],Telescope Azimuth [deg],Telescope Elevation [deg]
2024-09-13T00:17:00,2.15,180.002412,14.999779
2024-09-13T00:18:00,2.16,180.002369,14.999768
2024-09-13T00:19:00,2.14,180.002436,14.999808
2024-09-13T00:20:00,2.15,180.002379,14.999787
2024-09-13T00:21:00,2.12,180.002371,14.999741
2024-09-13T00:22:00,2.11,180.002554,14.999894
2024-09-13T00:23:00,2.12,180.002449,14.999873
2024-09-13T00:24:00,2.13,180.002468,14.999784
2024-09-13T00:25:00,2.12,180.002398,14.999757
2024-09-13T00:26:00,2.19,185.336267,33.864734
2024-09-13T00:27:00,2.21,185.392183,33.843298
2024-09-13T00:28:00,2.19,185.508407,33.821390
2024-09-13T00:29:00,2.19,185.521040,33.799428
2024-09-13T00:30:00,2.21,185.582460,33.777163
2024-09-13T00:31:00,2.24,185.634936,33.752115
2024-09-13T00:32:00,2.25,185.670450,33.732015
2024-09-13T00:33:00,2.24,185.725328,33.708999
2024-09-13T00:34:00,2.26,185.780424,33.685899
2024-09-13T00:35:00,2.25,185.835522,33.662605
2024-09-13T00:36:00,2.20,222.283090,34.740938
2024-09-13T00:37:00,2.23,222.257963,34.585945
2024-09-13T00:38:00,2.24,222.281874,34.427234
2024-09-13T00:39:00,2.23,222.280335,34.275960
2024-09-13T00:40:00,2.26,222.311627,34.120753
2024-09-13T00:41:00,2.25,222.329186,33.965607
2024-09-13T00:42:00,2.21,222.332091,33.804703
2024-09-13T00:43:00,2.24,222.361472,33.654926
2024-09-13T00:44:00,2.26,222.363251,33.499335
2024-09-13T00:45:00,2.42,1.911904,34.001801
2024-09-13T00:46:00,2.30,1.595870,34.008631
2024-09-13T00:47:00,2.34,1.367054,34.014520
2024-09-13T00:48:00,2.31,1.108773,34.023176
2024-09-13T00:49:00,2.33,0.875287,34.023484
2024-09-13T00:50:00,2.34,0.561138,34.026047
2024-09-13T00:51:00,2.33,0.307418,34.028016
2024-09-13T00:52:00,2.29,0.093828,34.028687
2024-09-13T00:53:00,2.32,-0.159285,34.028579
2024-09-13T00:54:00,2.32,-0.433548,34.027459
2024-09-13T00:55:00,2.33,-0.477362,33.978833
2024-09-13T00:56:00,2.31,-0.981079,34.021775
2024-09-13T00:57:00,2.35,-1.213686,34.017507
2024-09-13T00:58:00,2.25,-1.428073,34.012157
2024-09-13T00:59:00,2.36,-1.681358,34.005794
2024-09-13T01:00:00,2.30,-1.976044,33.998513
2024-09-13T01:01:00,2.34,-2.207748,33.990165
2024-09-13T01:02:00,2.26,-8.875960,74.369581
2024-09-13T01:03:00,2.31,-9.922831,74.331504
2024-09-13T01:04:00,2.32,-10.814378,74.285989
2024-09-13T01:05:00,2.31,-11.776782,74.244344
2024-09-13T01:06:00,2.32,-12.672488,74.195330
2024-09-13T01:07:00,2.27,-13.623660,74.143157
2024-09-13T01:08:00,2.30,-14.510565,74.087337
2024-09-13T01:09:00,2.29,-15.266339,74.027995
2024-09-13T01:10:00,2.29,-16.137728,73.965357
2024-09-13T01:11:00,2.32,-17.185132,73.899315
2024-09-13T01:12:00,2.28,-17.982528,73.829929
2024-09-13T01:13:00,2.34,-18.833772,73.757304
2024-09-13T01:14:00,2.33,-19.558981,73.681364
2024-09-13T01:15:00,2.32,-20.395577,73.602472
2024-09-13T01:16:00,2.31,-21.282610,73.520367
2024-09-13T01:17:00,2.32,-31.165722,43.346334
2024-09-13T01:18:00,2.33,-31.493395,43.226402
2024-09-13T01:19:00,2.31,-31.777522,43.109172
2024-09-13T01:20:00,2.30,-32.036408,42.983397
2024-09-13T01:21:00,2.29,-32.383197,42.860235
2024-09-13T01:22:00,2.28,-32.662347,42.736464
2024-09-13T01:23:00,2.32,-32.892053,42.611552
2024-09-13T01:24:00,2.34,-33.168416,42.485672
2024-09-13T01:25:00,2.32,-33.442021,42.358969
2024-09-13T01:26:00,2.32,-138.920762,66.155685
2024-09-13T01:27:00,2.31,-138.727937,66.003742
2024-09-13T01:28:00,2.29,-138.420417,65.847786
2024-09-13T01:29:00,2.25,-138.175650,65.697930
2024-09-13T01:30:00,2.32,-173.932048,68.527872
2024-09-13T01:31:00,2.33,-173.537222,68.502969
2024-09-13T01:32:00,2.30,-173.054583,68.480150
2024-09-13T01:33:00,2.29,-176.066900,53.003536
2024-09-13T01:34:00,2.32,-175.939375,52.987378
2024-09-13T01:35:00,2.28,-175.691970,52.970649
2024-09-13T01:36:00,2.30,-175.498092,52.960650
2024-09-13T01:37:00,2.30,-175.263510,52.934700
2024-09-13T01:38:00,2.25,-175.081717,52.915473
2024-09-13T01:39:00,2.27,-174.878517,52.895433
2024-09-13T01:40:00,2.25,-174.672665,52.874520
2024-09-13T01:41:00,2.27,-174.523111,52.852695
2024-09-13T01:42:00,2.18,-174.278975,52.815133
2024-09-13T01:43:00,2.30,-170.785659,31.597568
2024-09-13T01:44:00,2.24,-170.777627,31.560873
