Date time,Precipitable Water Vapor [mm],Telescope Azimuth [deg],Telescope Elevation [deg]
2024-08-09T00:00:00,0.70,202.485306,57.829729
2024-08-09T00:01:00,0.70,202.821851,57.833732
2024-08-09T00:02:00,0.72,202.989485,57.744110
2024-08-09T00:03:00,0.71,203.235195,57.653626
2024-08-09T00:04:00,0.71,203.471802,57.557386
2024-08-09T00:05:00,0.70,203.706054,57.472559
2024-08-09T00:06:00,0.70,203.907306,57.377232
2024-08-09T00:07:00,0.69,204.168696,57.283298
2024-08-09T00:08:00,0.71,204.407173,57.188537
2024-08-09T00:09:00,0.71,204.624495,57.095404
2024-08-09T00:10:00,0.69,204.818663,56.996228
2024-08-09T00:11:00,0.71,205.062382,56.899189
2024-08-09T00:12:00,0.68,205.284441,56.801012
2024-08-09T00:13:00,0.72,205.504053,56.702378
2024-08-09T00:14:00,0.72,205.722828,56.602674
2024-08-09T00:15:00,0.72,205.920528,56.502175
2024-08-09T00:16:00,0.71,206.153628,56.400796
2024-08-09T00:17:00,0.71,206.346530,56.298796
2024-08-09T00:18:00,0.72,206.577566,56.196004
2024-08-09T00:19:00,0.71,206.767537,56.092629
2024-08-09T00:20:00,0.71,207.013491,55.988493
2024-08-09T00:21:00,0.71,207.209703,55.883425
2024-08-09T00:22:00,0.71,207.352742,55.777579
2024-08-09T00:23:00,0.73,207.586795,55.671122
2024-08-09T00:24:00,0.73,197.997831,55.717010
2024-08-09T00:25:00,0.73,198.368062,55.645279
2024-08-09T00:26:00,0.71,198.295740,55.572762
2024-08-09T00:27:00,0.72,198.516573,55.499343
2024-08-09T00:28:00,0.72,198.735732,55.425047
2024-08-09T00:29:00,0.74,199.098365,55.350107
2024-08-09T00:30:00,0.73,219.607103,71.941243
2024-08-09T00:31:00,0.74,219.927201,71.794000
2024-08-09T00:32:00,0.74,220.386633,71.645328
2024-08-09T00:33:00,0.73,220.807516,71.490524
2024-08-09T00:34:00,0.72,221.227698,71.349195
2024-08-09T00:35:00,0.72,248.979891,78.846995
