Date time,Precipitable Water Vapor [mm],Telescope Azimuth [deg],Telescope Elevation [deg]
2024-09-12T00:00:00,2.33,-134.718133,39.718400
2024-09-12T00:01:00,2.32,-134.725003,39.547814
2024-09-12T00:02:00,2.32,-134.603060,39.390484
2024-09-12T00:03:00,2.40,-134.658938,39.226398
2024-09-12T00:04:00,2.34,-134.573342,39.062266
2024-09-12T00:05:00,2.30,-134.587524,38.894709
2024-09-12T00:06:00,2.28,-134.512572,38.740408
2024-09-12T00:07:00,2.34,-134.545168,38.569052
2024-09-12T00:08:00,2.37,-134.493223,38.404462
2024-09-12T00:09:00,2.33,-134.421048,38.240096
2024-09-12T00:10:00,2.38,-134.415247,38.075312
2024-09-12T00:11:00,2.34,-134.406462,37.910543
2024-09-12T00:12:00,2.28,-179.664986,51.330873
2024-09-12T00:13:00,2.26,-193.140081,51.383152
2024-09-12T00:14:00,2.27,-192.979050,51.435178
2024-09-12T00:15:00,2.25,-192.787901,51.486468
2024-09-12T00:16:00,2.23,-192.560391,51.533791
2024-09-12T00:17:00,2.24,-192.400855,51.587040
2024-09-12T00:18:00,2.29,-192.267848,51.636212
2024-09-12T00:19:00,2.24,-192.054243,51.684769
2024-09-12T00:20:00,2.29,-191.865942,51.732351
2024-09-12T00:21:00,2.31,-191.643081,51.779487
2024-09-12T00:22:00,2.37,-191.434341,51.825546
2024-09-12T00:23:00,2.36,-191.271888,51.871006
2024-09-12T00:24:00,2.36,-191.592008,51.861054
2024-09-12T00:25:00,2.39,-190.889741,51.959637
2024-09-12T00:26:00,2.36,-190.697891,52.002854
2024-09-12T00:27:00,2.44,-190.532649,52.045310
2024-09-12T00:28:00,2.45,-190.339198,52.086949
2024-09-12T00:29:00,2.40,-190.145733,52.127900
2024-09-12T00:30:00,2.32,-189.897132,52.167979
2024-09-12T00:31:00,2.29,-189.783655,52.207548
2024-09-12T00:32:00,2.31,-189.561113,52.245934
2024-09-12T00:33:00,2.30,-189.364771,52.283803
2024-09-12T00:34:00,2.26,-189.113951,52.320896
2024-09-12T00:35:00,2.27,-188.916453,52.357227
2024-09-12T00:36:00,2.40,-188.747155,52.392607
2024-09-12T00:37:00,2.40,-114.576844,57.927793
2024-09-12T00:38:00,2.40,-114.653588,57.718167
2024-09-12T00:39:00,2.38,-114.525548,57.508327
2024-09-12T00:40:00,2.37,-114.541697,57.295106
2024-09-12T00:41:00,2.50,-114.429838,57.095357
2024-09-12T00:42:00,2.43,-114.472618,56.878542
2024-09-12T00:43:00,2.50,-114.394468,56.668409
2024-09-12T00:44:00,2.52,-114.287903,56.458331
2024-09-12T00:45:00,2.56,-114.243490,56.248059
2024-09-12T00:46:00,2.54,-114.260086,56.037698
2024-09-12T00:47:00,2.55,-114.188227,55.827324
2024-09-12T00:48:00,2.53,-114.206696,55.616995
2024-09-12T00:49:00,2.51,-114.079020,55.406226
2024-09-12T00:50:00,2.47,-114.041184,55.195741
2024-09-12T00:51:00,2.46,-114.062689,54.985058
2024-09-12T00:52:00,2.47,-114.022827,54.774125
2024-09-12T00:53:00,2.58,-114.021319,54.563501
2024-09-12T00:54:00,2.51,-113.959324,54.352493
2024-09-12T00:55:00,2.48,-113.927248,54.141719
2024-09-12T00:56:00,2.54,-113.839713,53.931071
2024-09-12T00:57:00,2.55,-113.810176,53.720011
2024-09-12T00:58:00,2.48,-113.809990,53.508964
2024-09-12T00:59:00,2.47,-93.162605,65.848949
2024-09-12T01:00:00,2.44,-93.401677,65.618709
2024-09-12T01:01:00,2.44,-93.445130,65.388744
2024-09-12T01:02:00,2.44,-93.449437,65.154820
2024-09-12T01:03:00,2.40,-93.556799,64.928065
2024-09-12T01:04:00,2.41,-93.702231,64.697780
2024-09-12T01:05:00,2.38,-93.651982,64.467443
2024-09-12T01:06:00,2.42,-93.795988,64.237364
2024-09-12T01:07:00,2.43,-93.862107,64.007068
2024-09-12T01:08:00,2.45,-93.852681,63.777167
2024-09-12T01:09:00,2.36,-93.956432,63.546791
2024-09-12T01:10:00,2.38,-94.022374,63.316565
2024-09-12T01:11:00,2.39,-94.125018,63.086517
2024-09-12T01:12:00,2.36,-94.190197,62.856451
2024-09-12T01:13:00,2.38,-94.182693,62.626288
2024-09-12T01:14:00,2.35,-94.248223,62.396307
2024-09-12T01:15:00,2.40,-94.420176,62.166102
2024-09-12T01:16:00,2.40,-94.378178,61.936296
2024-09-12T01:17:00,2.39,-94.443004,61.706177
2024-09-12T01:18:00,2.41,-94.577392,61.476380
2024-09-12T01:19:00,2.45,-94.641721,61.246178
2024-09-12T01:20:00,2.25,3.924636,45.207860
2024-09-12T01:21:00,2.25,77.073632,45.433003
2024-09-12T01:22:00,2.26,76.883227,45.646592
2024-09-12T01:23:00,2.27,76.715280,45.882175
2024-09-12T01:24:00,2.27,76.546045,46.106770
2024-09-12T01:25:00,2.31,76.407554,46.330149
2024-09-12T01:26:00,2.39,76.252066,46.555490
2024-09-12T01:27:00,2.38,76.079953,46.779215
2024-09-12T01:28:00,2.34,-7.954385,33.515511
2024-09-12T01:29:00,2.35,-8.291245,33.482839
2024-09-12T01:30:00,2.40,-8.532206,33.449164
2024-09-12T01:31:00,2.34,-8.772548,33.414498
2024-09-12T01:32:00,2.38,-9.028706,33.375520
2024-09-12T01:33:00,2.34,-9.276159,33.348871
2024-09-12T01:34:00,2.38,-9.543550,33.304682
2024-09-12T01:35:00,2.35,-9.770863,33.266089
2024-09-12T01:36:00,2.33,-10.018008,33.226580
2024-09-12T01:37:00,2.32,-10.224801,33.186079
2024-09-12T01:38:00,2.32,-10.470701,33.144564
2024-09-12T01:39:00,2.30,-10.736434,33.102125
2024-09-12T01:40:00,2.28,-11.022176,33.058573
2024-09-12T01:41:00,2.31,-11.207626,33.014193
2024-09-12T01:42:00,2.27,-11.452370,32.968804
2024-09-12T01:43:00,2.25,-11.736096,32.922460
2024-09-12T01:44:00,2.22,-11.980249,32.875198
2024-09-12T01:45:00,2.25,-12.204568,32.826855
2024-09-12T01:46:00,2.30,-12.453631,32.777737
2024-09-12T01:47:00,2.29,-12.670850,32.727498
2024-09-12T01:48:00,2.22,-12.952233,32.676321
2024-09-12T01:49:00,2.29,-13.194055,32.624253
2024-09-12T01:50:00,2.30,-13.396416,32.571263
2024-09-12T01:51:00,2.28,-19.438419,36.069987
2024-09-12T01:52:00,2.28,-19.758370,35.992524
2024-09-12T01:53:00,2.24,-19.996566,35.914114
2024-09-12T01:54:00,2.29,-20.280823,35.834555
2024-09-12T01:55:00,2.29,-20.542018,35.750979
2024-09-12T01:56:00,2.29,-20.795002,35.679639
2024-09-12T01:57:00,2.34,-21.068010,35.590516
2024-09-12T01:58:00,2.29,-21.299302,35.507550
2024-09-12T01:59:00,2.36,-21.549950,35.423319
2024-09-12T02:00:00,2.34,-21.759494,35.338193
2024-09-12T02:01:00,2.33,-22.008770,35.252113
2024-09-12T02:02:00,2.36,-22.278163,35.165225
2024-09-12T02:03:00,2.32,1.174548,30.205870
2024-09-12T02:04:00,2.29,0.857634,30.209938
2024-09-12T02:05:00,2.35,0.675381,30.212954
2024-09-12T02:06:00,2.37,0.439566,30.211792
2024-09-12T02:07:00,2.35,0.187793,30.216382
2024-09-12T02:08:00,2.39,-0.044496,30.216660
2024-09-12T02:09:00,2.41,-0.297434,30.215932
2024-09-12T02:10:00,2.37,-0.528759,30.214432
2024-09-12T02:11:00,2.38,-0.760799,30.211902
2024-09-12T02:12:00,2.30,-0.954042,30.208453
2024-09-12T02:13:00,2.36,-4.458739,26.611448
2024-09-12T02:14:00,2.30,-4.727859,26.592943
2024-09-12T02:15:00,2.31,-4.958876,26.573405
2024-09-12T02:16:00,2.30,-5.164709,26.553202
2024-09-12T02:17:00,2.37,-5.346450,26.528704
2024-09-12T02:18:00,2.33,-5.559789,26.516723
2024-09-12T02:19:00,2.41,-5.829041,26.487283
2024-09-12T02:20:00,2.35,-6.022060,26.463630
2024-09-12T02:21:00,2.37,-6.196548,26.439015
2024-09-12T02:22:00,2.39,-6.408947,26.413624
2024-09-12T02:23:00,2.42,-6.657266,26.387410
2024-09-12T02:24:00,2.36,-6.850091,26.360315
2024-09-12T02:25:00,2.44,-7.098708,26.332353
2024-09-12T02:26:00,2.41,-7.254343,26.303672
2024-09-12T02:27:00,2.42,-7.502701,26.274027
2024-09-12T02:28:00,2.40,-7.712960,26.243603
2024-09-12T02:29:00,2.37,-7.886451,26.212278
2024-09-12T02:30:00,2.37,-51.169518,43.997055
2024-09-12T02:31:00,2.43,-51.406298,43.817066
2024-09-12T02:32:00,2.46,-51.623250,43.636516
2024-09-12T02:33:00,2.44,-51.888445,43.455380
2024-09-12T02:34:00,2.46,-52.129728,43.270225
2024-09-12T02:35:00,2.43,-52.361344,43.097757
2024-09-12T02:36:00,2.50,-52.612078,42.908484
2024-09-12T02:37:00,2.50,-52.817075,42.724998
