Date time,Precipitable Water Vapor [mm],Telescope Azimuth [deg],Telescope Elevation [deg]
2024-09-17T00:00:00,0.92,258.066007,52.276333
2024-09-17T00:01:00,0.90,258.029271,52.050753
2024-09-17T00:02:00,0.95,257.992495,51.825202
2024-09-17T00:03:00,0.94,258.714848,51.390203
2024-09-17T00:04:00,0.90,258.673845,51.167979
2024-09-17T00:05:00,0.90,258.630197,50.945938
2024-09-17T00:06:00,0.95,258.589405,50.723735
2024-09-17T00:07:00,0.93,258.547408,50.501424
2024-09-17T00:08:00,0.95,258.502748,50.279499
2024-09-17T00:09:00,0.92,258.460284,50.057203
2024-09-17T00:10:00,0.89,258.413351,49.833503
2024-09-17T00:11:00,0.91,258.367045,49.611855
2024-09-17T00:12:00,0.89,258.324577,49.389857
2024-09-17T00:13:00,0.92,258.281196,49.167723
2024-09-17T00:14:00,0.94,258.235357,48.946117
2024-09-17T00:15:00,0.94,258.191698,48.724038
2024-09-17T00:16:00,0.91,258.146662,48.502156
2024-09-17T00:17:00,0.97,257.405469,48.444279
2024-09-17T00:18:00,0.89,258.022484,48.032981
2024-09-17T00:19:00,0.90,257.318020,47.994213
2024-09-17T00:20:00,0.89,257.280682,47.768565
2024-09-17T00:21:00,0.93,257.896149,47.341650
2024-09-17T00:22:00,0.91,257.851774,47.109448
2024-09-17T00:23:00,0.92,257.153367,47.094262
2024-09-17T00:24:00,0.92,257.766400,46.648046
2024-09-17T00:25:00,0.94,257.731298,46.462979
2024-09-17T00:26:00,0.86,257.686189,46.230080
2024-09-17T00:27:00,0.89,256.980340,46.195106
2024-09-17T00:28:00,0.87,257.592649,45.794450
2024-09-17T00:29:00,0.93,257.553548,45.539622
2024-09-17T00:30:00,0.97,257.505794,45.300431
2024-09-17T00:31:00,0.93,256.803027,45.296080
2024-09-17T00:32:00,0.93,256.758398,45.071608
2024-09-17T00:33:00,0.90,256.713102,44.846925
2024-09-17T00:34:00,0.96,256.663822,44.622774
2024-09-17T00:35:00,0.99,256.837473,44.397507
2024-09-17T00:36:00,0.97,257.175444,43.958306
2024-09-17T00:37:00,0.92,257.127290,43.737304
2024-09-17T00:38:00,0.91,257.081331,43.515726
2024-09-17T00:39:00,0.99,257.031568,43.295123
2024-09-17T00:40:00,1.00,256.596015,43.275336
2024-09-17T00:41:00,0.99,256.340705,43.053150
2024-09-17T00:42:00,0.97,256.900761,42.630345
2024-09-17T00:43:00,0.94,256.855504,42.409052
2024-09-17T00:44:00,1.01,256.806122,42.188475
2024-09-17T00:45:00,1.02,256.759990,41.967201
2024-09-17T00:46:00,0.97,256.706852,41.747171
2024-09-17T00:47:00,0.96,256.655667,41.499190
2024-09-17T00:48:00,0.94,213.114013,69.263010
2024-09-17T00:49:00,0.98,213.663835,69.136262
2024-09-17T00:50:00,0.95,213.995540,69.008368
2024-09-17T00:51:00,0.95,214.325592,68.878875
2024-09-17T00:52:00,0.98,216.274404,71.652566
2024-09-17T00:53:00,0.95,216.733538,71.515238
2024-09-17T00:54:00,0.94,217.781125,71.295163
2024-09-17T00:55:00,0.98,218.184484,71.169775
2024-09-17T00:56:00,1.00,218.589828,71.040428
2024-09-17T00:57:00,0.99,219.049699,70.886073
2024-09-17T00:58:00,0.99,219.513787,70.728440
2024-09-17T00:59:00,1.00,219.328795,70.662267
2024-09-17T01:00:00,1.01,219.735990,70.515465
2024-09-17T01:01:00,1.02,220.747085,70.284711
2024-09-17T01:02:00,1.00,221.086821,70.157959
2024-09-17T01:03:00,0.96,221.482528,70.002261
2024-09-17T01:04:00,0.97,221.902031,69.836179
2024-09-17T01:05:00,0.93,221.666737,69.762959
2024-09-17T01:06:00,0.96,222.032996,69.609041
2024-09-17T01:07:00,1.00,222.392835,69.454008
2024-09-17T01:08:00,1.02,222.746516,69.297980
2024-09-17T01:09:00,1.01,223.632032,69.037733
2024-09-17T01:10:00,1.04,224.007656,68.893675
2024-09-17T01:11:00,1.04,224.337696,68.735789
2024-09-17T01:12:00,1.04,224.606378,68.564591
2024-09-17T01:13:00,1.04,224.879180,68.395639
2024-09-17T01:14:00,1.03,224.739867,68.340489
2024-09-17T01:15:00,1.08,225.489122,68.073012
2024-09-17T01:16:00,1.05,225.823075,67.920757
2024-09-17T01:17:00,1.06,226.173224,67.771068
2024-09-17T01:18:00,1.09,226.417306,67.597331
2024-09-17T01:19:00,1.09,226.654175,67.422587
2024-09-17T01:20:00,1.14,226.529816,67.350737
2024-09-17T01:21:00,1.18,226.809006,67.182932
2024-09-17T01:22:00,1.14,227.083993,67.014448
2024-09-17T01:23:00,1.14,227.799312,66.742179
2024-09-17T01:24:00,1.15,228.016513,66.561528
2024-09-17T01:25:00,1.15,228.253992,66.409491
2024-09-17T01:26:00,1.16,228.528276,66.225011
2024-09-17T01:27:00,1.15,228.806952,66.036822
2024-09-17T01:28:00,1.18,228.632955,65.987770
2024-09-17T01:29:00,1.19,228.874947,65.814400
2024-09-17T01:30:00,1.19,229.539040,65.517943
2024-09-17T01:31:00,1.18,229.750199,65.364001
2024-09-17T01:32:00,1.17,229.987873,65.181948
2024-09-17T01:33:00,1.18,230.236362,64.991172
2024-09-17T01:34:00,1.20,230.020974,64.937617
2024-09-17T01:35:00,1.22,230.237673,64.760899
2024-09-17T01:36:00,1.21,230.891640,64.462254
2024-09-17T01:37:00,1.19,230.676718,64.405675
2024-09-17T01:38:00,1.23,231.243659,64.107242
2024-09-17T01:39:00,1.27,231.505202,63.918482
2024-09-17T01:40:00,1.24,231.649490,63.729993
2024-09-17T01:41:00,1.21,231.796133,63.544188
2024-09-17T01:42:00,1.30,231.651297,63.506407
2024-09-17T01:43:00,1.26,232.174357,63.188424
2024-09-17T01:44:00,1.23,232.391820,63.018144
2024-09-17T01:45:00,1.23,232.601807,62.843533
2024-09-17T01:46:00,1.28,232.702440,62.649904
2024-09-17T01:47:00,1.28,232.555567,62.596208
2024-09-17T01:48:00,1.29,232.725637,62.412737
2024-09-17T01:49:00,1.25,233.208661,62.108381
2024-09-17T01:50:00,1.29,233.413222,61.935865
2024-09-17T01:51:00,1.27,233.564186,61.751415
2024-09-17T01:52:00,1.25,233.665108,61.559455
2024-09-17T01:53:00,1.25,233.535197,61.489962
2024-09-17T01:54:00,1.25,233.975997,61.151804
2024-09-17T01:55:00,1.29,233.838770,61.118083
2024-09-17T01:56:00,1.27,233.985652,60.931607
2024-09-17T01:57:00,1.27,234.432061,60.587365
2024-09-17T01:58:00,1.29,234.566342,60.417323
2024-09-17T01:59:00,1.26,234.697130,60.249163
2024-09-17T02:00:00,1.26,234.837560,60.057089
2024-09-17T02:01:00,1.25,234.998195,59.837114
2024-09-17T02:02:00,1.24,234.814410,59.805986
2024-09-17T02:03:00,1.28,234.943988,59.617529
2024-09-17T02:04:00,1.29,235.387471,59.282747
2024-09-17T02:05:00,1.29,235.505924,59.111785
2024-09-17T02:06:00,1.30,235.620680,58.934453
2024-09-17T02:07:00,1.30,235.756158,58.726292
2024-09-17T02:08:00,1.30,235.554653,58.669621
2024-09-17T02:09:00,1.26,235.955338,58.315207
2024-09-17T02:10:00,1.31,236.026558,58.122158
2024-09-17T02:11:00,1.31,235.893781,58.097776
2024-09-17T02:12:00,1.33,236.001890,57.906810
2024-09-17T02:13:00,1.34,236.366363,57.560545
2024-09-17T02:14:00,1.33,236.500253,57.377059
2024-09-17T02:15:00,1.32,236.612407,57.188494
2024-09-17T02:16:00,1.33,236.657186,56.991836
2024-09-17T02:17:00,1.34,236.755137,56.799624
2024-09-17T02:18:00,1.33,236.612145,56.754911
2024-09-17T02:19:00,1.35,236.920852,56.420204
2024-09-17T02:20:00,1.34,237.047684,56.235869
2024-09-17T02:21:00,1.36,237.165426,56.050188
2024-09-17T02:22:00,1.39,237.228515,55.855022
2024-09-17T02:23:00,1.42,233.708335,53.608470
2024-09-17T02:24:00,1.45,233.725806,53.422557
2024-09-17T02:25:00,1.43,233.824026,53.228974
2024-09-17T02:26:00,1.45,233.879483,53.050425
2024-09-17T02:27:00,1.43,237.399407,55.013458
2024-09-17T02:28:00,1.44,237.678518,54.645422
2024-09-17T02:29:00,1.44,237.555381,54.624278
2024-09-17T02:30:00,1.44,237.631069,54.429504
2024-09-17T02:31:00,1.46,237.914852,54.062795
2024-09-17T02:32:00,1.46,237.985705,53.885169
2024-09-17T02:33:00,1.47,238.054631,53.708623
2024-09-17T02:34:00,1.45,238.128872,53.502597
2024-09-17T02:35:00,1.46,238.206733,53.290258
2024-09-17T02:36:00,1.48,238.051199,53.257668
2024-09-17T02:37:00,1.45,238.116278,53.061982
2024-09-17T02:38:00,1.47,238.413346,52.696513
2024-09-17T02:39:00,1.47,238.473979,52.518766
2024-09-17T02:40:00,1.49,238.534021,52.338995
2024-09-17T02:41:00,1.49,238.599674,52.124999
2024-09-17T02:42:00,1.49,238.419098,52.080757
2024-09-17T02:43:00,1.49,238.691185,51.703527
2024-09-17T02:44:00,1.50,238.711730,51.507114
2024-09-17T02:45:00,1.49,238.584405,51.490841
2024-09-17T02:46:00,1.50,238.637062,51.293754
2024-09-17T02:47:00,1.49,238.870428,50.925711
2024-09-17T02:48:00,1.53,238.948398,50.734762
2024-09-17T02:49:00,1.56,239.012402,50.541517
2024-09-17T02:50:00,1.58,239.032710,50.344507
2024-09-17T02:51:00,1.56,239.068075,50.141373
2024-09-17T02:52:00,1.50,238.925377,50.110076
2024-09-17T02:53:00,1.49,239.125189,49.757221
2024-09-17T02:54:00,1.46,239.194557,49.565579
2024-09-17T02:55:00,1.48,239.264194,49.373876
2024-09-17T02:56:00,1.50,239.281186,49.175586
2024-09-17T02:57:00,1.49,239.133508,49.121112
