Date time,Precipitable Water Vapor [mm],Telescope Azimuth [deg],Telescope Elevation [deg]
2024-09-09T00:00:00,0.66,-147.039910,40.157622
2024-09-09T00:01:00,0.66,-147.027217,40.145803
2024-09-09T00:02:00,0.66,-146.899718,39.909943
2024-09-09T00:03:00,0.67,-146.879913,39.886920
2024-09-09T00:04:00,0.68,-146.794370,39.728002
2024-09-09T00:05:00,0.67,-146.709554,39.568765
2024-09-09T00:06:00,0.67,-146.811945,39.506492
2024-09-09T00:07:00,0.67,-146.721024,39.383710
2024-09-09T00:08:00,0.67,-146.580661,39.273838
2024-09-09T00:09:00,0.67,-146.647037,39.105418
2024-09-09T00:10:00,0.68,-146.523482,38.990582
2024-09-09T00:11:00,0.68,-146.499162,38.849129
2024-09-09T00:12:00,0.68,-146.434940,38.719022
2024-09-09T00:13:00,0.68,-146.278311,38.612204
2024-09-09T00:14:00,0.69,-146.348215,38.444792
2024-09-09T00:15:00,0.68,-146.243628,38.324783
2024-09-09T00:16:00,0.68,-146.208137,38.186899
2024-09-09T00:17:00,0.70,-146.159681,38.052021
2024-09-09T00:18:00,0.70,-145.991407,37.946847
2024-09-09T00:19:00,0.69,-146.070782,37.779371
2024-09-09T00:20:00,0.69,-145.884473,37.679634
2024-09-09T00:21:00,0.69,-145.982751,37.508614
2024-09-09T00:22:00,0.69,-145.859577,37.391251
2024-09-09T00:23:00,0.68,-145.768007,37.266598
2024-09-09T00:24:00,0.69,-145.854381,37.100046
2024-09-09T00:25:00,0.71,-145.662373,36.999423
2024-09-09T00:26:00,0.70,-145.747232,36.833925
2024-09-09T00:27:00,0.69,-145.603213,36.720246
2024-09-09T00:28:00,0.69,-145.562872,36.584122
2024-09-09T00:29:00,0.69,-145.522636,36.447714
2024-09-09T00:30:00,0.69,-145.476970,36.313192
2024-09-09T00:31:00,0.68,-145.534579,36.157199
2024-09-09T00:32:00,0.68,-145.370003,36.044296
2024-09-09T00:33:00,0.69,-140.993144,46.348638
2024-09-09T00:34:00,0.70,-137.641127,51.024252
2024-09-09T00:35:00,0.68,-137.529520,50.868605
2024-09-09T00:36:00,0.69,-137.418835,50.712762
