Date time,Precipitable Water Vapor [mm],Telescope Azimuth [deg],Telescope Elevation [deg]
2024-08-14T00:00:00,0.62,180.000038,14.999422
2024-08-14T00:01:00,0.63,180.000051,14.999449
2024-08-14T00:02:00,0.61,180.000038,14.999438
2024-08-14T00:03:00,0.61,180.000041,14.999436
2024-08-14T00:04:00,0.59,180.000049,14.999446
2024-08-14T00:05:00,0.59,180.000046,14.999441
2024-08-14T00:06:00,0.61,180.000065,14.999452
2024-08-14T00:07:00,0.60,180.000081,89.259986
2024-08-14T00:08:00,0.59,179.529984,89.925020
2024-08-14T00:09:00,0.61,208.698996,55.054954
2024-08-14T00:10:00,0.62,208.976529,54.943946
2024-08-14T00:11:00,0.58,209.078411,54.832197
2024-08-14T00:12:00,0.59,209.353058,54.719624
2024-08-14T00:13:00,0.60,209.471563,54.606756
2024-08-14T00:14:00,0.57,209.668291,54.492973
2024-08-14T00:15:00,0.59,209.847200,54.373515
2024-08-14T00:16:00,0.56,210.027216,54.268429
2024-08-14T00:17:00,0.55,210.177118,54.147900
2024-08-14T00:18:00,0.55,210.373633,54.031643
2024-08-14T00:19:00,0.57,210.530118,53.914701
2024-08-14T00:20:00,0.55,210.722771,53.797200
2024-08-14T00:21:00,0.54,210.875843,53.679075
2024-08-14T00:22:00,0.53,211.065178,53.560381
2024-08-14T00:23:00,0.56,211.215636,53.441053
2024-08-14T00:24:00,0.53,211.382481,53.321469
2024-08-14T00:25:00,0.58,202.485031,54.070033
2024-08-14T00:26:00,0.54,202.397096,53.982017
2024-08-14T00:27:00,0.54,202.591500,53.893348
2024-08-14T00:28:00,0.56,203.067321,53.803820
2024-08-14T00:29:00,0.55,203.258674,53.713512
2024-08-14T00:30:00,0.52,203.308221,53.622695
2024-08-14T00:31:00,0.54,200.891884,74.912612
2024-08-14T00:32:00,0.54,201.780162,74.829017
2024-08-14T00:33:00,0.55,202.332012,74.742791
2024-08-14T00:34:00,0.54,203.030393,74.654208
2024-08-14T00:35:00,0.53,203.692942,74.560397
2024-08-14T00:36:00,0.58,204.355752,74.474222
2024-08-14T00:37:00,0.57,228.059431,73.935130
2024-08-14T00:38:00,0.57,126.771153,73.999939
2024-08-14T00:39:00,0.56,-98.423983,73.563149
2024-08-14T00:40:00,0.57,-98.408130,73.335080
2024-08-14T00:41:00,0.57,-98.580629,73.022632
2024-08-14T00:42:00,0.57,-98.382267,72.878698
2024-08-14T00:43:00,0.59,-98.371848,72.650192
2024-08-14T00:44:00,0.58,-98.363139,72.421998
2024-08-14T00:45:00,0.60,-98.535291,72.110115
2024-08-14T00:46:00,0.59,-98.350266,71.965783
2024-08-14T00:47:00,0.60,-98.522964,71.653359
2024-08-14T00:48:00,0.57,-98.517665,71.425684
2024-08-14T00:49:00,0.58,-98.514683,71.197435
2024-08-14T00:50:00,0.56,-98.341652,71.052548
2024-08-14T00:51:00,0.56,-98.342777,70.824176
2024-08-14T00:52:00,0.56,-98.345069,70.595852
2024-08-14T00:53:00,0.55,-98.348522,70.367783
2024-08-14T00:54:00,0.55,-98.353181,70.139548
2024-08-14T00:55:00,0.56,-98.522998,69.828402
2024-08-14T00:56:00,0.57,-98.528435,69.600312
2024-08-14T00:57:00,0.57,-98.373538,69.454732
2024-08-14T00:58:00,0.57,-98.542547,69.143883
2024-08-14T00:59:00,0.57,-98.550860,68.916012
2024-08-14T01:00:00,0.59,-98.402975,68.770004
2024-08-14T01:01:00,0.58,-98.414572,68.541875
